Student_ID,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,Total Score,Average Score,Percentage,Grade,Result,Attendance
20,female,group C,associate's degree,free/reduced,none,54.0,58.0,61.0,173.0,57.666666666666664,57.666666666666664,D,Pass,90
21,male,group D,high school,standard,none,66.0,69.0,63.0,198.0,66.0,66.0,C,Pass,89
22,female,group B,some college,free/reduced,completed,65.0,75.0,70.0,210.0,70.0,70.0,B,Pass,95
23,male,group D,some college,standard,none,44.0,54.0,53.0,151.0,50.333333333333336,50.33333333333333,D,Pass,71
24,female,group C,some high school,standard,none,69.0,73.0,73.0,215.0,71.66666666666667,71.66666666666667,B,Pass,69
25,male,group D,bachelor's degree,free/reduced,completed,74.0,71.0,80.0,225.0,75.0,75.0,B,Pass,83
26,male,group A,master's degree,free/reduced,none,73.0,74.0,68.05005005005005,215.05005005005006,71.68335001668335,71.68335001668336,B,Pass,83
27,male,group B,some college,standard,none,69.0,54.0,55.0,178.0,59.333333333333336,59.333333333333336,D,Pass,73
28,female,group C,bachelor's degree,standard,none,67.0,69.0,75.0,211.0,70.33333333333333,70.33333333333334,B,Pass,84
29,male,group C,high school,standard,none,70.0,70.0,65.0,205.0,68.33333333333333,68.33333333333333,C,Pass,90
30,female,group D,master's degree,standard,none,62.0,70.0,75.0,207.0,69.0,69.0,C,Pass,61
31,female,group D,some college,standard,none,69.0,74.0,74.0,217.0,72.33333333333333,72.33333333333334,B,Pass,65
32,female,group B,some college,standard,none,63.0,65.0,61.0,189.0,63.0,63.0,C,Pass,83
33,female,group E,master's degree,free/reduced,none,56.0,72.0,65.0,193.0,64.33333333333333,64.33333333333333,C,Pass,72
34,male,group D,some college,standard,none,40.0,42.0,38.0,120.0,40.0,40.0,D,Pass,65
35,male,group E,some college,standard,none,97.0,87.0,82.0,266.0,88.66666666666667,88.66666666666667,A,Pass,74
36,male,group E,associate's degree,standard,completed,81.0,81.0,79.0,241.0,80.33333333333333,80.33333333333333,A,Pass,100
37,female,group D,associate's degree,standard,none,74.0,81.0,83.0,238.0,79.33333333333333,79.33333333333333,B,Pass,74
38,female,group D,some high school,free/reduced,none,50.0,64.0,59.0,173.0,57.666666666666664,57.666666666666664,D,Pass,82
39,female,group D,associate's degree,free/reduced,completed,75.0,90.0,88.0,253.0,84.33333333333333,84.33333333333334,A,Pass,91
40,male,group B,associate's degree,free/reduced,none,57.0,56.0,57.0,170.0,56.666666666666664,56.666666666666664,D,Pass,81
41,male,group C,associate's degree,free/reduced,none,55.0,61.0,54.0,170.0,56.666666666666664,56.666666666666664,D,Pass,79
42,female,group C,associate's degree,standard,none,58.0,73.0,68.0,199.0,66.33333333333333,66.33333333333333,C,Pass,72
43,female,group B,associate's degree,standard,none,53.0,58.0,65.0,176.0,58.666666666666664,58.666666666666664,D,Pass,76
44,male,group B,some college,free/reduced,completed,59.0,65.0,66.0,190.0,63.333333333333336,63.33333333333333,C,Pass,94
45,female,group E,associate's degree,free/reduced,none,50.0,56.0,54.0,160.0,53.333333333333336,53.333333333333336,D,Pass,76
46,male,group B,associate's degree,standard,none,65.0,54.0,57.0,176.0,58.666666666666664,58.666666666666664,D,Pass,98
47,female,group A,associate's degree,standard,completed,55.0,65.0,62.0,182.0,60.666666666666664,60.66666666666667,C,Pass,99
48,female,group C,high school,standard,none,66.0,71.0,76.0,213.0,71.0,71.0,B,Pass,96
49,female,group D,associate's degree,free/reduced,completed,57.0,74.0,76.0,207.0,69.0,69.0,C,Pass,70
50,male,group C,high school,standard,completed,82.0,84.0,82.0,248.0,82.66666666666667,82.66666666666667,A,Pass,92
51,male,group E,some college,standard,none,53.0,55.0,48.0,156.0,52.0,52.0,D,Pass,80
52,male,group E,associate's degree,free/reduced,completed,77.0,69.0,68.0,214.0,71.33333333333333,71.33333333333334,B,Pass,62
53,male,group C,some college,standard,none,53.0,44.0,42.0,139.0,46.333333333333336,46.33333333333333,D,Pass,71
54,male,group D,high school,standard,none,88.0,78.0,75.0,241.0,80.33333333333333,80.33333333333333,A,Pass,99
55,female,group C,some high school,free/reduced,completed,71.0,84.0,87.0,242.0,80.66666666666667,80.66666666666666,A,Pass,77
56,female,group C,high school,free/reduced,none,33.0,41.0,43.0,117.0,39.0,39.0,D,Fail,92
57,female,group E,associate's degree,standard,completed,82.0,85.0,86.0,253.0,84.33333333333333,84.33333333333334,A,Pass,92
58,male,group D,associate's degree,standard,none,52.0,55.0,49.0,156.0,52.0,52.0,D,Pass,77
59,male,group D,some college,standard,completed,58.0,59.0,58.0,175.0,58.333333333333336,58.333333333333336,D,Pass,76
60,female,group C,some high school,free/reduced,none,0.0,17.0,10.0,27.0,9.0,9.0,D,Fail,83
61,male,group E,bachelor's degree,free/reduced,completed,79.0,74.0,72.0,225.0,75.0,75.0,B,Pass,69
62,male,group A,some high school,free/reduced,none,39.0,39.0,34.0,112.0,37.333333333333336,37.333333333333336,D,Fail,84
63,male,group A,associate's degree,free/reduced,none,62.0,61.0,55.0,178.0,59.333333333333336,59.333333333333336,D,Pass,75
64,female,group C,associate's degree,standard,none,69.0,80.0,71.0,220.0,73.33333333333333,73.33333333333333,B,Pass,69
65,female,group D,some high school,standard,none,59.0,58.0,59.0,176.0,58.666666666666664,58.666666666666664,D,Pass,100
66,male,group B,some high school,standard,none,67.0,64.0,61.0,192.0,64.0,64.0,C,Pass,87
67,male,group D,some high school,free/reduced,none,45.0,37.0,37.0,119.0,39.666666666666664,39.666666666666664,D,Pass,93
68,female,group C,some college,standard,none,60.0,72.0,74.0,206.0,68.66666666666667,68.66666666666667,C,Pass,74
69,male,group B,associate's degree,free/reduced,none,61.0,58.0,56.0,175.0,58.333333333333336,58.333333333333336,D,Pass,100
70,female,group C,associate's degree,standard,none,39.0,64.0,57.0,160.0,53.333333333333336,53.333333333333336,D,Pass,86
71,female,group D,some college,free/reduced,completed,58.0,63.0,73.0,194.0,64.66666666666667,64.66666666666666,C,Pass,100
72,male,group D,some college,standard,completed,63.0,55.0,63.0,181.0,60.333333333333336,60.333333333333336,C,Pass,75
73,female,group A,associate's degree,free/reduced,none,41.0,51.0,48.0,140.0,46.666666666666664,46.666666666666664,D,Pass,80
74,male,group C,some high school,free/reduced,none,61.0,57.0,56.0,174.0,58.0,57.99999999999999,D,Pass,81
75,male,group C,some high school,standard,none,49.0,49.0,41.0,139.0,46.333333333333336,46.33333333333333,D,Pass,76
76,male,group B,associate's degree,free/reduced,none,44.0,41.0,38.0,123.0,41.0,41.0,D,Pass,93
77,male,group E,some high school,standard,none,30.0,26.0,22.0,78.0,26.0,26.0,D,Fail,94
78,male,group A,bachelor's degree,standard,completed,80.0,78.0,81.0,239.0,79.66666666666667,79.66666666666666,B,Pass,63
79,female,group D,some high school,standard,completed,61.0,74.0,72.0,207.0,69.0,69.0,C,Pass,60
80,female,group E,master's degree,standard,none,62.0,68.0,68.0,198.0,66.0,66.0,C,Pass,85
81,female,group B,associate's degree,standard,none,47.0,49.0,50.0,146.0,48.666666666666664,48.66666666666667,D,Pass,83
82,male,group B,high school,free/reduced,none,49.0,45.0,45.0,139.0,46.333333333333336,46.33333333333333,D,Pass,79
83,male,group A,some college,free/reduced,completed,50.0,47.0,54.0,151.0,50.333333333333336,50.33333333333333,D,Pass,66
84,male,group E,associate's degree,standard,none,72.0,64.0,63.0,199.0,66.33333333333333,66.33333333333333,C,Pass,60
85,male,group D,high school,free/reduced,none,42.0,39.0,34.0,115.0,38.333333333333336,38.333333333333336,D,Fail,63
86,female,group C,some college,standard,none,73.0,80.0,82.0,235.0,78.33333333333333,78.33333333333333,B,Pass,99
87,female,group C,some college,free/reduced,none,76.0,83.0,88.0,247.0,82.33333333333333,82.33333333333334,A,Pass,64
88,female,group D,associate's degree,standard,none,71.0,71.0,74.0,216.0,72.0,72.0,B,Pass,75
89,female,group A,some college,standard,none,58.0,70.0,67.0,195.0,65.0,65.0,C,Pass,89
90,female,group D,some high school,standard,none,73.0,86.0,82.0,241.0,80.33333333333333,80.33333333333333,A,Pass,99
91,female,group C,bachelor's degree,standard,none,65.0,72.0,74.0,211.0,70.33333333333333,70.33333333333334,B,Pass,63
92,male,group C,high school,free/reduced,none,27.0,34.0,36.0,97.0,32.333333333333336,32.33333333333333,D,Fail,98
93,male,group C,high school,standard,none,71.0,79.0,71.0,221.0,73.66666666666667,73.66666666666667,B,Pass,75
94,male,group C,associate's degree,free/reduced,completed,43.0,45.0,50.0,138.0,46.0,46.0,D,Pass,61
95,female,group B,some college,standard,none,79.0,86.0,92.0,257.0,85.66666666666667,85.66666666666667,A,Pass,79
96,male,group C,associate's degree,free/reduced,completed,78.0,81.0,82.0,241.0,80.33333333333333,80.33333333333333,A,Pass,70
97,male,group B,some high school,standard,completed,65.0,66.0,62.0,193.0,64.33333333333333,64.33333333333333,C,Pass,60
98,female,group E,some college,standard,completed,63.0,72.0,70.0,205.0,68.33333333333333,68.33333333333333,C,Pass,83
99,female,group D,some college,free/reduced,none,58.0,67.0,62.0,187.0,62.333333333333336,62.33333333333333,C,Pass,85
100,female,group D,bachelor's degree,standard,none,65.0,67.0,62.0,194.0,64.66666666666667,64.66666666666666,C,Pass,60
101,male,group B,some college,standard,none,79.0,67.0,67.0,213.0,71.0,71.0,B,Pass,62
102,male,group D,bachelor's degree,standard,completed,68.0,74.0,74.0,216.0,72.0,72.0,B,Pass,78
103,female,group D,associate's degree,standard,none,85.0,91.0,89.0,265.0,88.33333333333333,88.33333333333333,A,Pass,96
104,male,group B,high school,standard,completed,60.0,44.0,47.0,151.0,50.333333333333336,50.33333333333333,D,Pass,68
105,male,group C,some college,standard,completed,98.0,86.0,90.0,274.0,91.33333333333333,91.33333333333333,A+,Pass,73
106,female,group C,some college,standard,none,58.0,67.0,72.0,197.0,65.66666666666667,65.66666666666666,C,Pass,72
107,female,group D,master's degree,standard,none,87.0,100.0,100.0,287.0,95.66666666666667,95.66666666666667,A+,Pass,75
108,male,group E,associate's degree,standard,completed,66.0,63.0,64.0,193.0,64.33333333333333,64.33333333333333,C,Pass,91
109,female,group B,associate's degree,free/reduced,none,52.0,76.0,70.0,198.0,66.0,66.0,C,Pass,85
110,female,group B,some high school,standard,none,70.0,64.0,72.0,206.0,68.66666666666667,68.66666666666667,C,Pass,96
111,female,group D,associate's degree,free/reduced,completed,77.0,89.0,98.0,264.0,88.0,88.0,A,Pass,69
112,male,group C,high school,standard,none,62.0,55.0,49.0,166.0,55.333333333333336,55.333333333333336,D,Pass,84
113,male,group A,associate's degree,standard,none,54.0,53.0,47.0,154.0,51.333333333333336,51.33333333333333,D,Pass,77
114,female,group D,some college,standard,none,51.0,58.0,54.0,163.0,54.333333333333336,54.333333333333336,D,Pass,96
115,female,group E,bachelor's degree,standard,completed,99.0,100.0,100.0,299.0,99.66666666666667,99.66666666666667,A+,Pass,91
116,male,group C,high school,standard,none,84.0,77.0,74.0,235.0,78.33333333333333,78.33333333333333,B,Pass,69
117,female,group B,bachelor's degree,free/reduced,none,75.0,85.0,82.0,242.0,80.66666666666667,80.66666666666666,A,Pass,63
118,female,group D,bachelor's degree,standard,none,78.0,82.0,79.0,239.0,79.66666666666667,79.66666666666666,B,Pass,98
119,female,group D,some high school,standard,none,51.0,63.0,61.0,175.0,58.333333333333336,58.333333333333336,D,Pass,99
120,female,group C,some college,standard,none,55.0,69.0,65.0,189.0,63.0,63.0,C,Pass,90
121,female,group C,bachelor's degree,standard,completed,79.0,92.0,89.0,260.0,86.66666666666667,86.66666666666667,A,Pass,87
122,male,group B,associate's degree,standard,completed,91.0,89.0,92.0,272.0,90.66666666666667,90.66666666666666,A+,Pass,87
123,female,group C,some college,standard,completed,88.0,93.0,93.0,274.0,91.33333333333333,91.33333333333333,A+,Pass,61
124,male,group D,high school,free/reduced,none,63.0,57.0,56.0,176.0,58.666666666666664,58.666666666666664,D,Pass,67
125,male,group E,some college,standard,none,83.0,80.0,73.0,236.0,78.66666666666667,78.66666666666666,B,Pass,78
126,female,group B,high school,standard,none,87.0,95.0,86.0,268.0,89.33333333333333,89.33333333333333,A,Pass,65
127,male,group B,some high school,standard,none,72.0,68.0,67.0,207.0,69.0,69.0,C,Pass,97
128,male,group D,some college,standard,completed,65.0,77.0,74.0,216.0,72.0,72.0,B,Pass,69
129,male,group D,master's degree,standard,none,82.0,82.0,74.0,238.0,79.33333333333333,79.33333333333333,B,Pass,78
130,female,group A,bachelor's degree,standard,none,51.0,49.0,51.0,151.0,50.333333333333336,50.33333333333333,D,Pass,88
131,male,group D,master's degree,standard,none,89.0,84.0,82.0,255.0,85.0,85.0,A,Pass,64
132,male,group C,some high school,free/reduced,completed,53.0,37.0,40.0,130.0,43.333333333333336,43.333333333333336,D,Pass,68
133,male,group E,some college,free/reduced,completed,87.0,74.0,70.0,231.0,77.0,77.0,B,Pass,97
134,female,group C,some college,standard,completed,75.0,81.0,84.0,240.0,80.0,80.0,A,Pass,71
135,male,group D,bachelor's degree,free/reduced,completed,74.0,79.0,75.0,228.0,76.0,76.0,B,Pass,72
136,male,group C,bachelor's degree,standard,none,58.0,55.0,48.0,161.0,53.666666666666664,53.666666666666664,D,Pass,88
137,male,group B,some high school,standard,completed,51.0,54.0,41.0,146.0,48.666666666666664,48.66666666666667,D,Pass,98
138,male,group E,high school,standard,none,70.0,55.0,56.0,181.0,60.333333333333336,60.333333333333336,C,Pass,90
139,female,group C,associate's degree,standard,none,59.0,66.0,67.0,192.0,64.0,64.0,C,Pass,79
140,male,group D,some college,standard,completed,71.0,61.0,69.0,201.0,67.0,67.0,C,Pass,90
141,female,group D,some high school,standard,none,76.0,72.0,71.0,219.0,73.0,73.0,B,Pass,70
142,female,group C,some college,free/reduced,none,59.0,62.0,64.0,185.0,61.666666666666664,61.66666666666667,C,Pass,89
143,female,group E,some college,free/reduced,completed,42.0,55.0,54.0,151.0,50.333333333333336,50.33333333333333,D,Pass,89
144,male,group A,high school,standard,none,57.0,43.0,47.0,147.0,49.0,49.0,D,Pass,76
145,male,group D,some college,standard,none,88.0,73.0,78.0,239.0,79.66666666666667,79.66666666666666,B,Pass,87
146,female,group C,some college,free/reduced,none,22.0,39.0,33.0,94.0,31.333333333333332,31.333333333333336,D,Fail,82
147,male,group B,some high school,standard,none,88.0,84.0,75.0,247.0,82.33333333333333,82.33333333333334,A,Pass,65
148,male,group C,associate's degree,free/reduced,none,73.0,68.0,66.0,207.0,69.0,69.0,C,Pass,98
149,female,group D,bachelor's degree,standard,completed,68.0,75.0,81.0,224.0,74.66666666666667,74.66666666666667,B,Pass,62
150,male,group E,associate's degree,free/reduced,completed,100.0,100.0,93.0,293.0,97.66666666666667,97.66666666666667,A+,Pass,61
151,male,group A,some high school,standard,completed,62.0,67.0,69.0,198.0,66.0,66.0,C,Pass,99
152,male,group A,bachelor's degree,standard,none,77.0,67.0,68.0,212.0,70.66666666666667,70.66666666666667,B,Pass,92
153,female,group B,associate's degree,standard,completed,59.0,70.0,66.0,195.0,65.0,65.0,C,Pass,69
154,male,group D,bachelor's degree,standard,none,54.0,49.0,47.0,150.0,50.0,50.0,D,Pass,62
155,male,group D,some high school,standard,none,62.0,67.0,61.0,190.0,63.333333333333336,63.33333333333333,C,Pass,99
156,female,group C,some college,standard,completed,70.0,89.0,88.0,247.0,82.33333333333333,82.33333333333334,A,Pass,100
157,female,group E,high school,free/reduced,completed,66.0,74.0,78.0,218.0,72.66666666666667,72.66666666666667,B,Pass,63
158,male,group B,some college,free/reduced,none,60.0,60.0,60.0,180.0,60.0,60.0,C,Pass,82
159,female,group B,associate's degree,standard,completed,61.0,86.0,87.0,234.0,78.0,78.0,B,Pass,82
160,male,group D,associate's degree,free/reduced,none,66.0,62.0,64.0,192.0,64.0,64.0,C,Pass,75
161,male,group B,associate's degree,free/reduced,completed,82.0,78.0,74.0,234.0,78.0,78.0,B,Pass,92
162,female,group E,some college,free/reduced,completed,75.0,88.0,85.0,248.0,82.66666666666667,82.66666666666667,A,Pass,72
163,male,group B,master's degree,free/reduced,none,49.0,53.0,52.0,154.0,51.333333333333336,51.33333333333333,D,Pass,95
164,male,group C,high school,standard,none,52.0,53.0,49.0,154.0,51.333333333333336,51.33333333333333,D,Pass,99
165,female,group E,master's degree,standard,none,81.0,92.0,91.0,264.0,88.0,88.0,A,Pass,87
166,female,group C,bachelor's degree,standard,completed,96.0,100.0,100.0,296.0,98.66666666666667,98.66666666666667,A+,Pass,67
167,male,group C,high school,free/reduced,completed,53.0,51.0,51.0,155.0,51.666666666666664,51.66666666666667,D,Pass,80
168,female,group B,master's degree,free/reduced,completed,58.0,76.0,78.0,212.0,70.66666666666667,70.66666666666667,B,Pass,97
169,female,group B,high school,standard,completed,68.0,83.0,78.0,229.0,76.33333333333333,76.33333333333333,B,Pass,84
170,female,group C,some college,free/reduced,completed,67.0,75.0,70.0,212.0,70.66666666666667,70.66666666666667,B,Pass,63
171,male,group A,high school,standard,completed,72.0,73.0,74.0,219.0,73.0,73.0,B,Pass,65
172,male,group E,some high school,standard,none,94.0,88.0,78.0,260.0,86.66666666666667,86.66666666666667,A,Pass,85
173,female,group D,some college,standard,none,79.0,86.0,81.0,246.0,82.0,82.0,A,Pass,93
174,female,group C,associate's degree,standard,none,63.0,67.0,70.0,200.0,66.66666666666667,66.66666666666666,C,Pass,98
175,female,group C,bachelor's degree,free/reduced,completed,43.0,51.0,54.0,148.0,49.333333333333336,49.333333333333336,D,Pass,83
176,female,group C,master's degree,standard,completed,81.0,91.0,87.0,259.0,86.33333333333333,86.33333333333333,A,Pass,87
177,female,group B,high school,free/reduced,completed,46.0,54.0,58.0,158.0,52.666666666666664,52.666666666666664,D,Pass,87
178,female,group C,associate's degree,standard,completed,71.0,77.0,77.0,225.0,75.0,75.0,B,Pass,76
179,female,group B,master's degree,free/reduced,completed,52.0,70.0,62.0,184.0,61.333333333333336,61.33333333333333,C,Pass,90
180,female,group D,some high school,standard,completed,97.0,100.0,100.0,297.0,99.0,99.0,A+,Pass,97
181,male,group C,master's degree,free/reduced,completed,62.0,68.0,75.0,205.0,68.33333333333333,68.33333333333333,C,Pass,88
182,female,group C,some college,free/reduced,none,46.0,64.0,66.0,176.0,58.666666666666664,58.666666666666664,D,Pass,88
183,female,group E,high school,standard,none,50.0,50.0,47.0,147.0,49.0,49.0,D,Pass,98
184,female,group D,associate's degree,standard,none,65.0,69.0,70.0,204.0,68.0,68.0,C,Pass,89
185,male,group C,some high school,free/reduced,completed,45.0,52.0,49.0,146.0,48.666666666666664,48.66666666666667,D,Pass,80
186,male,group C,associate's degree,free/reduced,completed,65.0,67.0,65.0,197.0,65.66666666666667,65.66666666666666,C,Pass,86
187,male,group E,high school,standard,none,80.0,76.0,65.0,221.0,73.66666666666667,73.66666666666667,B,Pass,97
188,male,group D,some high school,standard,completed,62.0,66.0,68.0,196.0,65.33333333333333,65.33333333333333,C,Pass,80
189,male,group B,some high school,free/reduced,none,48.0,52.0,45.0,145.0,48.333333333333336,48.333333333333336,D,Pass,72
190,female,group C,bachelor's degree,standard,none,77.0,88.0,87.0,252.0,84.0,84.0,A,Pass,75
191,female,group E,associate's degree,standard,none,66.0,65.0,69.0,200.0,66.66666666666667,66.66666666666666,C,Pass,72
192,male,group D,some college,standard,completed,76.0,83.0,79.0,238.0,79.33333333333333,79.33333333333333,B,Pass,65
193,female,group B,some high school,standard,none,62.0,64.0,66.0,192.0,64.0,64.0,C,Pass,90
194,male,group D,some college,standard,completed,77.0,62.0,62.0,201.0,67.0,67.0,C,Pass,90
195,female,group C,master's degree,standard,completed,69.0,84.0,85.0,238.0,79.33333333333333,79.33333333333333,B,Pass,79
196,male,group D,associate's degree,standard,none,61.0,55.0,52.0,168.0,56.0,56.00000000000001,D,Pass,77
197,male,group C,some high school,free/reduced,completed,59.0,69.0,65.0,193.0,64.33333333333333,64.33333333333333,C,Pass,100
198,male,group E,high school,free/reduced,none,55.0,56.0,51.0,162.0,54.0,54.0,D,Pass,67
199,female,group B,some college,free/reduced,none,45.0,53.0,55.0,153.0,51.0,51.0,D,Pass,88
200,female,group B,bachelor's degree,free/reduced,none,78.0,79.0,76.0,233.0,77.66666666666667,77.66666666666666,B,Pass,90
201,female,group C,associate's degree,standard,completed,67.0,84.0,86.0,237.0,79.0,79.0,B,Pass,88
202,female,group D,some college,free/reduced,none,65.0,81.0,77.0,223.0,74.33333333333333,74.33333333333333,B,Pass,70
203,male,group C,associate's degree,standard,none,69.0,77.0,69.0,215.0,71.66666666666667,71.66666666666667,B,Pass,80
204,female,group B,associate's degree,standard,none,57.0,69.0,68.0,194.0,64.66666666666667,64.66666666666666,C,Pass,85
205,male,group C,some college,standard,none,59.0,41.0,42.0,142.0,47.333333333333336,47.333333333333336,D,Pass,71
206,male,group D,some high school,standard,completed,74.0,71.0,78.0,223.0,74.33333333333333,74.33333333333333,B,Pass,79
207,male,group E,bachelor's degree,standard,none,82.0,62.0,62.0,206.0,68.66666666666667,68.66666666666667,C,Pass,93
208,male,group E,high school,standard,completed,81.0,80.0,76.0,237.0,79.0,79.0,B,Pass,69
209,female,group B,some college,free/reduced,none,74.0,81.0,76.0,231.0,77.0,77.0,B,Pass,76
210,female,group B,some college,free/reduced,none,58.0,61.0,66.0,185.0,61.666666666666664,61.66666666666667,C,Pass,92
211,male,group D,some high school,free/reduced,completed,80.0,79.0,79.0,238.0,79.33333333333333,79.33333333333333,B,Pass,91
212,male,group C,some college,free/reduced,none,35.0,28.0,27.0,90.0,30.0,30.0,D,Fail,79
213,female,group C,high school,free/reduced,none,42.0,62.0,60.0,164.0,54.666666666666664,54.666666666666664,D,Pass,72
214,male,group C,associate's degree,free/reduced,completed,60.0,51.0,56.0,167.0,55.666666666666664,55.666666666666664,D,Pass,96
215,male,group E,high school,standard,completed,87.0,91.0,81.0,259.0,86.33333333333333,86.33333333333333,A,Pass,95
216,male,group B,some high school,standard,completed,84.0,83.0,75.0,242.0,80.66666666666667,80.66666666666666,A,Pass,60
217,female,group E,associate's degree,free/reduced,completed,83.0,86.0,88.0,257.0,85.66666666666667,85.66666666666667,A,Pass,100
218,female,group C,high school,free/reduced,none,34.0,42.0,39.0,115.0,38.333333333333336,38.333333333333336,D,Fail,86
219,male,group B,high school,free/reduced,none,66.0,77.0,70.0,213.0,71.0,71.0,B,Pass,77
220,male,group B,some high school,standard,completed,61.0,56.0,56.0,173.0,57.666666666666664,57.666666666666664,D,Pass,90
221,female,group D,high school,standard,completed,56.0,68.0,74.0,198.0,66.0,66.0,C,Pass,62
222,male,group B,associate's degree,standard,none,87.0,85.0,73.0,245.0,81.66666666666667,81.66666666666667,A,Pass,88
223,female,group C,some high school,free/reduced,none,55.0,65.0,62.0,182.0,60.666666666666664,60.66666666666667,C,Pass,77
224,male,group D,some high school,standard,none,86.0,80.0,75.0,241.0,80.33333333333333,80.33333333333333,A,Pass,90
225,female,group B,associate's degree,standard,completed,52.0,66.0,73.0,191.0,63.666666666666664,63.66666666666667,C,Pass,93
226,female,group E,master's degree,free/reduced,none,45.0,56.0,54.0,155.0,51.666666666666664,51.66666666666667,D,Pass,96
227,female,group C,some college,standard,none,72.0,72.0,71.0,215.0,71.66666666666667,71.66666666666667,B,Pass,98
228,male,group D,high school,standard,none,57.0,50.0,54.0,161.0,53.666666666666664,53.666666666666664,D,Pass,63
229,male,group A,some high school,free/reduced,none,68.0,72.0,64.0,204.0,68.0,68.0,C,Pass,75
230,female,group C,some college,standard,completed,88.0,95.0,94.0,277.0,92.33333333333333,92.33333333333333,A+,Pass,67
231,male,group D,some college,standard,none,76.0,64.0,66.0,206.0,68.66666666666667,68.66666666666667,C,Pass,91
232,male,group C,associate's degree,standard,none,46.0,43.0,42.0,131.0,43.666666666666664,43.666666666666664,D,Pass,77
233,female,group B,bachelor's degree,standard,none,67.0,86.0,83.0,236.0,78.66666666666667,78.66666666666666,B,Pass,60
234,male,group E,some high school,standard,none,92.0,87.0,78.0,257.0,85.66666666666667,85.66666666666667,A,Pass,85
235,male,group C,bachelor's degree,standard,completed,83.0,82.0,84.0,249.0,83.0,83.0,A,Pass,77
236,male,group D,associate's degree,standard,none,80.0,75.0,77.0,232.0,77.33333333333333,77.33333333333333,B,Pass,84
237,male,group D,bachelor's degree,free/reduced,none,63.0,66.0,67.0,196.0,65.33333333333333,65.33333333333333,C,Pass,93
238,female,group D,some high school,standard,completed,64.0,60.0,74.0,198.0,66.0,66.0,C,Pass,84
239,male,group B,some college,standard,none,54.0,52.0,51.0,157.0,52.333333333333336,52.33333333333333,D,Pass,93
240,male,group C,associate's degree,standard,none,84.0,80.0,80.0,244.0,81.33333333333333,81.33333333333333,A,Pass,69
241,male,group D,high school,free/reduced,completed,73.0,68.0,66.0,207.0,69.0,69.0,C,Pass,84
242,female,group E,bachelor's degree,standard,none,80.0,83.0,83.0,246.0,82.0,82.0,A,Pass,84
243,female,group D,high school,standard,none,56.0,52.0,55.0,163.0,54.333333333333336,54.333333333333336,D,Pass,98
244,male,group E,some college,standard,none,59.0,51.0,43.0,153.0,51.0,51.0,D,Pass,90
245,male,group D,some high school,standard,none,75.0,74.0,69.0,218.0,72.66666666666667,72.66666666666667,B,Pass,91
246,male,group C,associate's degree,standard,none,85.0,76.0,71.0,232.0,77.33333333333333,77.33333333333333,B,Pass,73
247,male,group E,associate's degree,standard,none,89.0,76.0,74.0,239.0,79.66666666666667,79.66666666666666,B,Pass,78
248,female,group B,high school,standard,completed,58.0,70.0,68.0,196.0,65.33333333333333,65.33333333333333,C,Pass,92
